Format,Number,Typeless format,SRGB format,Linear format,Type,SRGB,Channel 0,Channel 1,Channel 2, Channel 3,Channel 0 bits,Channel 1 bits,Channel 2 bits,Channel 3 bits,Element type,DisplayType,Channel 0 type,Channel 1 type,Channel 2 type,Channel 3 type
DXGI_FORMAT_R10G10B10A2_TYPELESS,23,DXGI_FORMAT_R10G10B10A2_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,B,A,10,10,10,2,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R10G10B10A2_UNORM,24,DXGI_FORMAT_R10G10B10A2_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R10G10B10A2_UNORM,UNorm,FALSE,R,G,B,A,10,10,10,2,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R10G10B10A2_UINT,25,DXGI_FORMAT_R10G10B10A2_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R10G10B10A2_UINT,UInt,FALSE,R,G,B,A,10,10,10,2,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R11G11B10_FLOAT,26,DXGI_FORMAT_R10G10B10A2_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R11G11B10_FLOAT,Float,FALSE,R,G,B,N,11,11,10,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8B8A8_TYPELESS,27,DXGI_FORMAT_R8G8B8A8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,B,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8B8A8_UNORM,28,DXGI_FORMAT_R8G8B8A8_TYPELESS,DXGI_FORMAT_R8G8B8A8_UNORM_SRGB,DXGI_FORMAT_R8G8B8A8_UNORM,UNorm,FALSE,R,G,B,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8B8A8_UNORM_SRGB,29,DXGI_FORMAT_R8G8B8A8_TYPELESS,DXGI_FORMAT_R8G8B8A8_UNORM_SRGB,DXGI_FORMAT_R8G8B8A8_UNORM,UNorm,TRUE,R,G,B,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8B8A8_UINT,30,DXGI_FORMAT_R8G8B8A8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8B8A8_UINT,UInt,FALSE,R,G,B,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8B8A8_SNORM,31,DXGI_FORMAT_R8G8B8A8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8B8A8_SNORM,SNorm,FALSE,R,G,B,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8B8A8_SINT,32,DXGI_FORMAT_R8G8B8A8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8B8A8_SINT,SInt,FALSE,R,G,B,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16_TYPELESS,33,DXGI_FORMAT_R16G16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,N,N,16,16,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16_FLOAT,34,DXGI_FORMAT_R16G16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16G16_FLOAT,Float,FALSE,R,G,N,N,16,16,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16_UNORM,35,DXGI_FORMAT_R16G16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16G16_UNORM,UNorm,FALSE,R,G,N,N,16,16,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16_UINT,36,DXGI_FORMAT_R16G16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16G16_UINT,UInt,FALSE,R,G,N,N,16,16,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16_SNORM,37,DXGI_FORMAT_R16G16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16G16_SNORM,SNorm,FALSE,R,G,N,N,16,16,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16G16_SINT,38,DXGI_FORMAT_R16G16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16G16_SINT,SInt,FALSE,R,G,N,N,16,16,0,0,Pixel,Hardware,Void,Void,Void,Void
