Format,Number,Typeless format,SRGB format,Linear format,Type,SRGB,Channel 0,Channel 1,Channel 2, Channel 3,Channel 0 bits,Channel 1 bits,Channel 2 bits,Channel 3 bits,Element type,DisplayType,Channel 0 type,Channel 1 type,Channel 2 type,Channel 3 type
DXGI_FORMAT_B5G5R5A1_UNORM,86,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_B5G5R5A1_UNORM,UNorm,FALSE,B,G,R,A,5,5,5,1,Pixel,Transcode,Void,Void,Void,Void
DXGI_FORMAT_B8G8R8A8_UNORM,87,DXGI_FORMAT_B8G8R8A8_TYPELESS,DXGI_FORMAT_B8G8R8A8_UNORM_SRGB,DXGI_FORMAT_B8G8R8A8_UNORM,UNorm,FALSE,B,G,R,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_B8G8R8X8_UNORM,88,DXGI_FORMAT_B8G8R8A8_TYPELESS,DXGI_FORMAT_B8G8R8X8_UNORM_SRGB,DXGI_FORMAT_B8G8R8X8_UNORM,UNorm,FALSE,B,G,R,X,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R10G10B10_XR_BIAS_A2_UNORM,89,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R10G10B10_XR_BIAS_A2_UNORM,XRBias,FALSE,R,G,B,A,10,10,10,2,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_B8G8R8A8_TYPELESS,90,DXGI_FORMAT_B8G8R8A8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,B,G,R,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_B8G8R8A8_UNORM_SRGB,91,DXGI_FORMAT_B8G8R8A8_TYPELESS,DXGI_FORMAT_B8G8R8A8_UNORM_SRGB,DXGI_FORMAT_B8G8R8A8_UNORM,UNorm,TRUE,B,G,R,A,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_B8G8R8X8_TYPELESS,92,DXGI_FORMAT_B8G8R8A8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,B,G,R,X,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_B8G8R8X8_UNORM_SRGB,93,DXGI_FORMAT_B8G8R8A8_TYPELESS,DXGI_FORMAT_B8G8R8X8_UNORM_SRGB,DXGI_FORMAT_B8G8R8X8_UNORM,UNorm,TRUE,B,G,R,X,8,8,8,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC6H_TYPELESS,94,DXGI_FORMAT_BC6H_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C3,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC6H_UF16,95,DXGI_FORMAT_BC6H_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_BC6H_UF16,Float,FALSE,C3,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC6H_SF16,96,DXGI_FORMAT_BC6H_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_BC6H_SF16,Float,FALSE,C3,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC7_TYPELESS,97,DXGI_FORMAT_BC7_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC7_UNORM,98,DXGI_FORMAT_BC7_TYPELESS,DXGI_FORMAT_BC7_UNORM_SRGB,DXGI_FORMAT_BC7_UNORM,UNorm,FALSE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC7_UNORM_SRGB,99,DXGI_FORMAT_BC7_TYPELESS,DXGI_FORMAT_BC7_UNORM_SRGB,DXGI_FORMAT_BC7_UNORM,UNorm,TRUE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_AYUV,100,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_Y410,101,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_Y416,102,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_NV12,103,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_P010,104,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_P016,105,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_420_OPAQUE,106,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_YUY2,107,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_Y210,108,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_Y216,109,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_NV11,110,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_AI44,111,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_IA44,112,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_P8,113,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_A8P8,114,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_B4G4R4A4_UNORM,115,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_B4G4R4A4_UNORM,UNorm,FALSE,B,G,R,A,4,4,4,4,Pixel,Transcode,Void,Void,Void,Void
DXGI_FORMAT_P208,130,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_V208,131,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
DXGI_FORMAT_V408,132,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Void,FALSE,N,N,N,N,0,0,0,0,Pixel,None,Void,Void,Void,Void
